{'station_id': 'StationC', 'date': '2000-01-25', 'degrees': -11.756740976695077, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-01-25', 'degrees': 43.11338609508731, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-01-25', 'degrees': 40.702449078848765, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-01-25', 'degrees': 28.5496838143483, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-01-25', 'degrees': 44.45980359971387, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-01-25', 'degrees': 47.30991994777704, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-01-25', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-01-25', 'degrees': 4.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-01-26', 'degrees': 2.3528103942592296, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-01-26', 'degrees': 6.103687004899854, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-01-26', 'degrees': 38.047854872203665, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-01-26', 'degrees': 25.90504111950828, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-01-26', 'degrees': 30.065639605642183, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-01-26', 'degrees': 30.320130930320595, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-01-26', 'degrees': 8.843631875418712, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-01-26', 'degrees': 19.626077623773483, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-01-26', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-01-26', 'degrees': 5.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-01-27', 'degrees': 47.968539025422245, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-01-27', 'degrees': 4.1053198136450355, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-01-27', 'degrees': 15.229383219662964, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-01-27', 'degrees': 28.6764184446627, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-01-27', 'degrees': 37.36352038541525, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-01-27', 'degrees': 49.92723834747596, 'partition': 0}
